################################################################## 
# Generated by FullSWOF_2D version 1.10.00, 2023-04-06
################################################################## 
# (i-0.5)*dx 	(j-0.5)*dy	 h[i][j] 	 u[i][j] 	  v[i][j]	 h[i][j]+z[i][j] 	 z[i][j] 	 norm_U[i][j] 	Fr[i][j] (Froude)	 qx[i][j]	 qy[i][j]	  q[i][j]
# 
# time : 0 seconds 
0.1	     10.1	      0.0	      0.0	      0.0	 -2.47772	 -2.47772	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	     10.3	      0.0	      0.0	      0.0	 -2.48448	 -2.48448	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	     10.5	      0.0	      0.0	      0.0	 -2.49445	 -2.49445	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	     10.7	      0.0	      0.0	      0.0	 -2.50962	 -2.50962	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	     10.9	      0.0	      0.0	      0.0	 -2.53168	 -2.53168	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	     11.1	      0.0	      0.0	      0.0	 -2.56202	 -2.56202	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	     11.3	      0.0	      0.0	      0.0	 -2.60159	 -2.60159	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	     11.5	      0.0	      0.0	      0.0	 -2.65092	 -2.65092	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	     11.7	      0.0	      0.0	      0.0	 -2.71003	 -2.71003	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	     11.9	      0.0	      0.0	      0.0	 -2.77847	 -2.77847	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	     12.1	      0.0	      0.0	      0.0	 -2.85535	 -2.85535	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	     12.3	      0.0	      0.0	      0.0	 -2.93933	 -2.93933	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	     12.5	      0.0	      0.0	      0.0	 -3.02875	 -3.02875	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	     12.7	      0.0	      0.0	      0.0	 -3.12168	 -3.12168	      0.0	      NaN	      0.0	      0.0	      0.0

0.3	      0.1	      0.0	      0.0	      0.0	 0.195085	 0.195085	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      0.3	      0.0	      0.0	      0.0	 0.130583	 0.130583	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      0.5	      0.0	      0.0	      0.0	 0.057206	 0.057206	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      0.7	      0.0	      0.0	      0.0	-0.023896	-0.023896	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      0.9	      0.0	      0.0	      0.0	-0.111197	-0.111197	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      1.1	      0.0	      0.0	      0.0	-0.202861	-0.202861	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      1.3	      0.0	      0.0	      0.0	-0.296843	-0.296843	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      1.5	      0.0	      0.0	      0.0	-0.390979	-0.390979	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      1.7	      0.0	      0.0	      0.0	-0.483102	-0.483102	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      1.9	      0.0	      0.0	      0.0	 -0.57114	 -0.57114	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      2.1	      0.0	      0.0	      0.0	-0.653225	-0.653225	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      2.3	      0.0	      0.0	      0.0	 -0.72778	 -0.72778	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      2.5	      0.0	      0.0	      0.0	-0.793597	-0.793597	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      2.7	      0.0	      0.0	      0.0	  -0.8499	  -0.8499	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      2.9	      0.0	      0.0	      0.0	-0.896379	-0.896379	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      3.1	      0.0	      0.0	      0.0	-0.933207	-0.933207	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      3.3	      0.0	      0.0	      0.0	-0.961031	-0.961031	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      3.5	      0.0	      0.0	      0.0	-0.980941	-0.980941	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      3.7	      0.0	      0.0	      0.0	-0.994416	-0.994416	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      3.9	      0.0	      0.0	      0.0	 -1.00325	 -1.00325	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      4.1	      0.0	      0.0	      0.0	 -1.00947	 -1.00947	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      4.3	      0.0	      0.0	      0.0	 -1.01522	 -1.01522	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      4.5	      0.0	      0.0	      0.0	 -1.02268	 -1.02268	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      4.7	      0.0	      0.0	      0.0	 -1.03394	 -1.03394	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      4.9	      0.0	      0.0	      0.0	 -1.05091	 -1.05091	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      5.1	      0.0	      0.0	      0.0	  -1.0752	  -1.0752	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      5.3	      0.0	      0.0	      0.0	 -1.10808	 -1.10808	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      5.5	      0.0	      0.0	      0.0	  -1.1504	  -1.1504	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      5.7	      0.0	      0.0	      0.0	 -1.20252	 -1.20252	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      5.9	      0.0	      0.0	      0.0	 -1.26435	 -1.26435	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      6.1	      0.0	      0.0	      0.0	  -1.3353	  -1.3353	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      6.3	      0.0	      0.0	      0.0	 -1.41435	 -1.41435	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      6.5	      0.0	      0.0	      0.0	 -1.50006	 -1.50006	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      6.7	      0.0	      0.0	      0.0	 -1.59069	 -1.59069	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      6.9	      0.0	      0.0	      0.0	 -1.68423	 -1.68423	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      7.1	      0.0	      0.0	      0.0	 -1.77854	 -1.77854	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      7.3	      0.0	      0.0	      0.0	 -1.87146	 -1.87146	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      7.5	      0.0	      0.0	      0.0	 -1.96086	 -1.96086	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      7.7	      0.0	      0.0	      0.0	 -2.04481	 -2.04481	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      7.9	      0.0	      0.0	      0.0	 -2.12164	 -2.12164	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      8.1	      0.0	      0.0	      0.0	 -2.19004	 -2.19004	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      8.3	      0.0	      0.0	      0.0	  -2.2491	  -2.2491	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      8.5	      0.0	      0.0	      0.0	 -2.29838	 -2.29838	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      8.7	      0.0	      0.0	      0.0	  -2.3379	  -2.3379	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      8.9	      0.0	      0.0	      0.0	  -2.3682	  -2.3682	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      9.1	      0.0	      0.0	      0.0	 -2.39022	 -2.39022	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      9.3	      0.0	      0.0	      0.0	 -2.40535	 -2.40535	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      9.5	      0.0	      0.0	      0.0	 -2.41531	 -2.41531	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      9.7	      0.0	      0.0	      0.0	 -2.42206	 -2.42206	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	      9.9	      0.0	      0.0	      0.0	 -2.42772	 -2.42772	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	     10.1	      0.0	      0.0	      0.0	 -2.43448	 -2.43448	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	     10.3	      0.0	      0.0	      0.0	 -2.44446	 -2.44446	      0.0	      NaN	      0.0	      0.0	      0.0
